id,rating,return_rate,location,sales,revenue
P0001,9.7,0.06732,2,15364,13818381.6
P0002,1.4,0.053040000000000004,2,1099,54400.5
P0003,10.3,0.00038,1,23388,32261407.199999996
P0004,1.3,0.09319000000000001,1,9116,4917170.399999999
P0005,2.0,0.01625,5,21178,26671573.199999996
P0006,1.6,0.07641,1,20075,28090947.5
P0007,3.4,0.047900000000000005,6,15190,18215848.0
P0008,2.2,0.09405000000000001,4,15157,15904240.1
P0009,1.8,0.006790000000000001,3,4137,990397.7999999999
P0010,9.0,0.0008300000000000001,4,11354,7486827.6
P0011,6.2,0.0724,4,7283,3054490.1999999997
P0012,1.0,0.09997,2,7093,3470604.9
P0013,2.2,0.046930000000000006,2,28144,63020044.800000004
P0014,1.0,0.011380000000000001,7,7140,3743145.0
P0015,3.0,0.09262000000000001,7,12188,8768047.2
P0016,2.9,0.08174000000000001,3,8149,5208840.800000001
P0017,5.6,0.054770000000000006,1,17226,21950230.5
P0018,1.7000000000000002,0.08634000000000001,1,10090,7559932.5
P0019,3.8,0.03529,7,6228,2797929.0
P0020,4.6,0.06756000000000001,6,25265,44196064.5
P0021,1.6,0.05378,4,7154,3750484.5
P0022,1.1,0.06326000000000001,3,29132,59117567.6
P0023,2.0,0.023110000000000002,5,19168,29120025.6
P0024,9.8,0.03449,6,22425,34518802.5
P0025,10.8,0.06169,1,29385,68149692.00000001
P0026,10.0,0.030150000000000003,6,12416,8932070.4
P0027,6.5,0.018670000000000003,3,11259,7424184.6
P0028,5.4,0.034800000000000005,5,26258,51183406.5
P0029,3.4,0.09513,3,3176,759699.2000000001
P0030,1.4,0.028620000000000003,3,5145,1540412.9999999998
P0031,5.4,0.098,6,11252,8656163.6
P0032,3.9,0.08701,2,22204,36619947.0
P0033,5.0,0.025400000000000002,4,15236,17129073.0
P0034,10.8,0.01924,3,27407,44382895.8
P0035,5.1,0.09347000000000001,3,5232,2088614.4000000001
P0036,6.0,0.031790000000000006,7,6278,3008417.6
P0037,9.0,0.0020800000000000003,1,12340,11836528.0
P0038,5.8,0.06744,6,21281,31268173.3
P0039,6.2,0.07759,7,3280,784576.0
P0040,10.7,0.08797,2,18377,16530111.5
P0041,10.3,0.03288,7,5406,1888315.7999999998
P0042,1.2,0.02103,3,28139,63008848.800000004
P0043,6.0,0.0051600000000000005,5,18307,23054005.099999998
P0044,8.9,0.07812000000000001,1,22352,24576024.0
P0045,2.0,0.07436000000000001,2,15108,13588135.2
P0046,6.2,0.00898,2,10244,8187004.800000001
P0047,2.2,0.09704,2,27144,51283159.199999996
P0048,9.4,0.09653,2,6366,2287940.4
P0049,2.0,0.09061000000000001,3,28128,55111190.4
P0050,4.6,0.02944,7,7225,3787706.25
P0051,2.4,0.018940000000000002,2,5154,1285923.0
P0052,4.2,0.08159000000000001,1,7194,3520024.1999999997
P0053,2.6,0.08901,2,11152,7353628.8
P0054,11.0,0.01234,4,21437,22498131.5
P0055,2.3,0.0859,3,14146,13853177.799999999
P0056,6.4,0.06894,3,22257,24471571.5
P0057,1.9,0.00299,3,25122,37667926.8
P0058,10.0,0.06471,6,25408,50795673.6
P0059,3.8,0.033370000000000004,7,2258,337006.5
P0060,9.4,0.01552,4,24353,29211423.5
P0061,1.2,0.056130000000000006,5,26151,33983224.5
P0062,3.4,0.01998,7,5253,2096997.6000000003
P0063,1.7000000000000002,0.039700000000000006,7,6179,2590854.6999999997
P0064,8.5,0.08106000000000001,2,16309,18254663.7
P0065,1.2,0.00666,5,18152,19593268.799999997
P0066,3.4,0.041120000000000004,2,7166,3756775.5
P0067,7.1,0.01131,4,18277,24660242.25
P0068,9.9,0.09012,2,24365,46761308.0
P0069,3.5,0.06797,2,14200,11919480.0
P0070,4.0,0.058460000000000005,4,7226,4040779.2
P0071,7.7,0.03649,4,11315,6217592.5
P0072,5.9,0.09412000000000001,4,15252,11431374.0
P0073,6.0,0.027260000000000003,6,23271,40125021.75
P0074,6.0,0.0034000000000000002,5,18280,19731431.999999996
P0075,5.6,0.04463,1,18234,26242372.8
P0076,2.0,0.09769000000000001,1,25106,50191915.2
P0077,3.8,0.08741,7,3245,582153.0
P0078,10.7,0.08421000000000001,4,19424,18443088.0
P0079,6.3,0.021980000000000003,7,30324,63659173.19999999
P0080,1.0,0.09196000000000001,1,20081,32113535.2
P0081,9.5,0.09430000000000001,6,18393,16544503.5
P0082,3.8,0.00529,3,26185,40832889.0
P0083,2.0,0.019880000000000002,2,15112,15857021.6
P0084,7.7,0.05387,1,27298,55257976.5
P0085,2.0,0.06821,3,26118,47516477.4
P0086,1.9,0.03696,5,24167,40583643.1
P0087,4.8,0.09602000000000001,7,6291,2260985.4
P0088,1.9,0.08088000000000001,3,21133,35486533.6
P0089,2.3,0.015780000000000002,3,18149,19590030.599999998
P0090,2.5,0.08525,4,2167,344986.4
P0091,5.6,0.02408,1,22214,34194010.199999996
P0092,7.6,0.07038000000000001,2,12300,8848620.0
P0093,4.0,0.022850000000000002,5,12246,10278067.799999999
P0094,9.6,0.021720000000000003,1,11352,7485508.8
P0095,10.5,0.028520000000000004,3,7419,4148704.8000000003
P0096,4.8,0.06962,1,4185,1252361.25
P0097,5.0,0.07808000000000001,4,24263,34924162.199999996
P0098,3.6,0.09549,4,22224,39096460.800000004
P0099,4.7,0.09570000000000001,2,11189,9222533.25
P0100,3.9,0.01348,7,5269,1971923.25
P0101,2.5,0.038680000000000006,2,12144,7280328.0
P0102,9.9,0.004600000000000001,1,3356,602066.4
P0103,2.3,0.05661000000000001,5,14191,11911925.4
P0104,9.0,0.00583,4,17385,23629692.0
P0105,3.1,0.07400000000000001,1,17153,17485768.2
P0106,10.1,0.06841000000000001,5,26421,48067725.3
P0107,2.9,0.06328,3,14173,15862421.600000001
P0108,4.2,0.0463,3,20222,24254266.799999997
P0109,6.6,0.06205000000000001,6,23286,42827611.2
P0110,3.0,0.00538,1,16160,15503904.0
P0111,9.9,0.00727,5,27384,55432062.0
P0112,8.3,0.07514000000000001,2,28335,39654832.5
P0113,1.2,0.02544,1,18122,26081182.400000002
P0114,8.0,0.08650000000000001,7,20376,20365812.0
P0115,2.8,0.08973,1,16150,19367887.5
P0116,5.1,0.025550000000000003,6,3252,777878.4
P0117,4.4,0.02671,6,15266,16018613.799999999
P0118,6.1,0.030420000000000003,7,9315,6280638.75
P0119,10.8,0.00282,6,12425,11173181.25
P0120,6.3,0.07773000000000001,7,26321,51306209.25
P0121,2.2,0.04252,4,16142,20648846.400000002
P0122,3.0,0.08393,3,29164,67637148.80000001
P0123,4.4,0.06745000000000001,7,6244,1870078.0
P0124,4.4,0.04263,2,30190,63377866.99999999
P0125,5.0,0.008,7,27260,51502318.0
P0126,3.7,0.038160000000000006,7,27217,36729341.5
P0127,1.8,0.09712000000000001,1,18104,22798367.2
P0128,2.0,0.01632,5,6157,2581630.0999999996
P0129,4.7,0.05371000000000001,6,22250,29356649.999999996
P0130,1.3,0.037410000000000006,7,8139,3901836.5999999996
P0131,7.3,0.07926000000000001,6,5320,1327340.0
P0132,3.1,0.044460000000000006,2,21165,22212667.5
P0133,5.5,0.030010000000000002,5,28254,59312209.5
P0134,1.0,0.09267,6,8159,3259520.5
P0135,10.4,0.03672,1,22382,24609009.0
P0136,2.6,0.00944,1,17159,21864855.75
P0137,6.0,0.03654,5,17281,23488335.2
P0138,1.7000000000000002,0.043980000000000005,3,16146,15490472.4
P0139,6.2,0.061500000000000006,7,10343,7749492.75
P0140,4.0,0.07036,3,10186,6105488.399999999
P0141,1.2,0.07558000000000001,2,22082,29134990.799999997
