id,color,category,price,rating,base_discount,net_price
P0001,3,4,1499,9.7,0.6,899.4
P0002,2,5,99,1.4,0.5,49.5
P0003,4,4,2299,10.3,0.6,1379.3999999999999
P0004,5,4,899,1.3,0.6,539.4
P0005,5,4,2099,2.0,0.6,1259.3999999999999
P0006,1,3,1999,1.6,0.7,1399.3
P0007,1,1,1499,3.4,0.8,1199.2
P0008,4,3,1499,2.2,0.7,1049.3
P0009,3,4,399,1.8,0.6,239.39999999999998
P0010,1,4,1099,9.0,0.6,659.4
P0011,5,4,699,6.2,0.6,419.4
P0012,3,3,699,1.0,0.7,489.29999999999995
P0013,3,1,2799,2.2,0.8,2239.2000000000003
P0014,1,2,699,1.0,0.75,524.25
P0015,1,4,1199,3.0,0.6,719.4
P0016,1,1,799,2.9,0.8,639.2
P0017,2,2,1699,5.6,0.75,1274.25
P0018,2,2,999,1.7000000000000002,0.75,749.25
P0019,1,2,599,3.8,0.75,449.25
P0020,4,3,2499,4.6,0.7,1749.3
P0021,4,2,699,1.6,0.75,524.25
P0022,4,3,2899,1.1,0.7,2029.3
P0023,4,1,1899,2.0,0.8,1519.2
P0024,4,3,2199,9.8,0.7,1539.3
P0025,3,1,2899,10.8,0.8,2319.2000000000003
P0026,2,4,1199,10.0,0.6,719.4
P0027,1,4,1099,6.5,0.6,659.4
P0028,2,2,2599,5.4,0.75,1949.25
P0029,1,1,299,3.4,0.8,239.20000000000002
P0030,4,4,499,1.4,0.6,299.4
P0031,1,3,1099,5.4,0.7,769.3
P0032,4,2,2199,3.9,0.75,1649.25
P0033,1,2,1499,5.0,0.75,1124.25
P0034,3,4,2699,10.8,0.6,1619.3999999999999
P0035,3,1,499,5.1,0.8,399.20000000000005
P0036,1,1,599,6.0,0.8,479.20000000000005
P0037,5,1,1199,9.0,0.8,959.2
P0038,1,3,2099,5.8,0.7,1469.3
P0039,1,1,299,6.2,0.8,239.20000000000002
P0040,1,5,1799,10.7,0.5,899.5
P0041,1,3,499,10.3,0.7,349.29999999999995
P0042,5,1,2799,1.2,0.8,2239.2000000000003
P0043,4,3,1799,6.0,0.7,1259.3
P0044,4,5,2199,8.9,0.5,1099.5
P0045,2,4,1499,2.0,0.6,899.4
P0046,1,1,999,6.2,0.8,799.2
P0047,3,3,2699,2.2,0.7,1889.3
P0048,4,4,599,9.4,0.6,359.4
P0049,1,3,2799,2.0,0.7,1959.3
P0050,1,2,699,4.6,0.75,524.25
P0051,3,5,499,2.4,0.5,249.5
P0052,5,3,699,4.2,0.7,489.29999999999995
P0053,4,4,1099,2.6,0.6,659.4
P0054,4,5,2099,11.0,0.5,1049.5
P0055,3,3,1399,2.3,0.7,979.3
P0056,2,5,2199,6.4,0.5,1099.5
P0057,2,4,2499,1.9,0.6,1499.3999999999999
P0058,3,1,2499,10.0,0.8,1999.2
P0059,5,2,199,3.8,0.75,149.25
P0060,1,5,2399,9.4,0.5,1199.5
P0061,3,5,2599,1.2,0.5,1299.5
P0062,5,1,499,3.4,0.8,399.20000000000005
P0063,4,3,599,1.7000000000000002,0.7,419.29999999999995
P0064,2,3,1599,8.5,0.7,1119.3
P0065,5,4,1799,1.2,0.6,1079.3999999999999
P0066,2,2,699,3.4,0.75,524.25
P0067,1,2,1799,7.1,0.75,1349.25
P0068,1,1,2399,9.9,0.8,1919.2
P0069,5,4,1399,3.5,0.6,839.4
P0070,3,1,699,4.0,0.8,559.2
P0071,1,5,1099,7.7,0.5,549.5
P0072,2,5,1499,5.9,0.5,749.5
P0073,2,2,2299,6.0,0.75,1724.25
P0074,4,4,1799,6.0,0.6,1079.3999999999999
P0075,3,1,1799,5.6,0.8,1439.2
P0076,1,1,2499,2.0,0.8,1999.2
P0077,4,4,299,3.8,0.6,179.4
P0078,4,5,1899,10.7,0.5,949.5
P0079,4,3,2999,6.3,0.7,2099.2999999999997
P0080,2,1,1999,1.0,0.8,1599.2
P0081,2,5,1799,9.5,0.5,899.5
P0082,1,4,2599,3.8,0.6,1559.3999999999999
P0083,2,3,1499,2.0,0.7,1049.3
P0084,3,2,2699,7.7,0.75,2024.25
P0085,2,3,2599,2.0,0.7,1819.3
P0086,5,3,2399,1.9,0.7,1679.3
P0087,5,4,599,4.8,0.6,359.4
P0088,3,1,2099,1.9,0.8,1679.2
P0089,2,4,1799,2.3,0.6,1079.3999999999999
P0090,3,1,199,2.5,0.8,159.20000000000002
P0091,1,3,2199,5.6,0.7,1539.3
P0092,4,4,1199,7.6,0.6,719.4
P0093,4,3,1199,4.0,0.7,839.3
P0094,3,4,1099,9.6,0.6,659.4
P0095,5,1,699,10.5,0.8,559.2
P0096,1,2,399,4.8,0.75,299.25
P0097,4,4,2399,5.0,0.6,1439.3999999999999
P0098,4,1,2199,3.6,0.8,1759.2
P0099,1,2,1099,4.7,0.75,824.25
P0100,5,2,499,3.9,0.75,374.25
P0101,3,5,1199,2.5,0.5,599.5
P0102,2,4,299,9.9,0.6,179.4
P0103,5,4,1399,2.3,0.6,839.4
P0104,5,1,1699,9.0,0.8,1359.2
P0105,4,4,1699,3.1,0.6,1019.4
P0106,4,3,2599,10.1,0.7,1819.3
P0107,3,1,1399,2.9,0.8,1119.2
P0108,5,4,1999,4.2,0.6,1199.3999999999999
P0109,1,1,2299,6.6,0.8,1839.2
P0110,3,4,1599,3.0,0.6,959.4
P0111,3,2,2699,9.9,0.75,2024.25
P0112,4,5,2799,8.3,0.5,1399.5
P0113,5,1,1799,1.2,0.8,1439.2
P0114,4,5,1999,8.0,0.5,999.5
P0115,2,2,1599,2.8,0.75,1199.25
P0116,3,1,299,5.1,0.8,239.20000000000002
P0117,5,3,1499,4.4,0.7,1049.3
P0118,4,2,899,6.1,0.75,674.25
P0119,3,2,1199,10.8,0.75,899.25
P0120,4,2,2599,6.3,0.75,1949.25
P0121,2,1,1599,2.2,0.8,1279.2
P0122,1,1,2899,3.0,0.8,2319.2000000000003
P0123,3,5,599,4.4,0.5,299.5
P0124,1,3,2999,4.4,0.7,2099.2999999999997
P0125,2,3,2699,5.0,0.7,1889.3
P0126,3,5,2699,3.7,0.5,1349.5
P0127,3,3,1799,1.8,0.7,1259.3
P0128,4,3,599,2.0,0.7,419.29999999999995
P0129,2,4,2199,4.7,0.6,1319.3999999999999
P0130,1,4,799,1.3,0.6,479.4
P0131,3,5,499,7.3,0.5,249.5
P0132,3,5,2099,3.1,0.5,1049.5
P0133,2,2,2799,5.5,0.75,2099.25
P0134,5,5,799,1.0,0.5,399.5
P0135,3,5,2199,10.4,0.5,1099.5
P0136,4,2,1699,2.6,0.75,1274.25
P0137,4,1,1699,6.0,0.8,1359.2
P0138,5,4,1599,1.7000000000000002,0.6,959.4
P0139,5,2,999,6.2,0.75,749.25
P0140,1,4,999,4.0,0.6,599.4
P0141,1,4,2199,1.2,0.6,1319.3999999999999
P0142,2,4,899,10.7,0.6,539.4
P0143,4,1,499,7.0,0.8,399.20000000000005
P0144,2,3,2199,9.0,0.7,1539.3
P0145,3,3,99,9.3,0.7,69.3
P0146,4,5,1799,5.7,0.5,899.5
P0147,5,2,1299,9.7,0.75,974.25
P0148,4,4,1099,2.8,0.6,659.4
P0149,2,3,1999,3.6,0.7,1399.3
P0150,2,3,1499,3.5,0.7,1049.3
P0151,5,2,1499,6.5,0.75,1124.25
P0152,1,3,299,1.8,0.7,209.29999999999998
P0153,2,4,1699,9.1,0.6,1019.4
P0154,3,3,599,8.0,0.7,419.29999999999995
P0155,1,4,799,4.2,0.6,479.4
P0156,3,3,1199,10.7,0.7,839.3
P0157,4,1,2799,1.0,0.8,2239.2000000000003
P0158,3,2,999,8.9,0.75,749.25
P0159,3,3,1199,2.5,0.7,839.3
P0160,1,1,1499,3.6,0.8,1199.2
P0161,3,4,2499,4.3,0.6,1499.3999999999999
P0162,4,1,99,8.0,0.8,79.2
P0163,4,2,2299,3.2,0.75,1724.25
P0164,5,5,299,10.5,0.5,149.5
P0165,3,3,599,2.8,0.7,419.29999999999995
P0166,1,2,799,2.4,0.75,599.25
P0167,2,3,1599,7.7,0.7,1119.3
P0168,2,4,99,7.9,0.6,59.4
P0169,2,5,2199,4.0,0.5,1099.5
P0170,4,5,1299,3.2,0.5,649.5
P0171,2,3,2399,9.2,0.7,1679.3
P0172,5,4,999,9.2,0.6,599.4
P0173,4,2,399,10.8,0.75,299.25
P0174,5,3,499,2.3,0.7,349.29999999999995
P0175,5,1,2499,9.8,0.8,1999.2
P0176,2,4,2199,9.9,0.6,1319.3999999999999
P0177,3,4,699,1.4,0.6,419.4
P0178,1,4,1399,3.4,0.6,839.4
P0179,4,3,999,9.0,0.7,699.3
P0180,2,4,2699,5.7,0.6,1619.3999999999999
